,"('GLD', 'open')","('GLD', 'high')","('GLD', 'low')","('GLD', 'close')","('GLD', 'volume')",Close
2018-05-29,122.84,123.64,122.66,123.21,6811627,7293.893402777787
2018-05-30,123.17,123.61,123.17,123.38,3146780,7432.491090277765
2018-05-31,123.26,123.78,123.1,123.11,5603793,7500.117368055571
2018-06-01,122.59,123.09,122.44,122.51,5980805,7481.294326587604
2018-06-04,122.85,122.93,122.38,122.38,3177053,7575.770119047636
2018-06-05,122.55,123.2257,122.281,122.86,5017029,7491.749234516372
2018-06-06,123.08,123.35,122.63,122.9,3378295,7606.474933705539
2018-06-07,122.96,123.145,122.69,122.87,2498000,7692.623342657363
2018-06-08,123.08,123.12,122.91,123.02,3109418,7629.4082270497565
2018-06-11,123.1,123.42,123.0175,123.22,2661331,6760.714718554554
2018-06-12,122.95,123.18,122.64,122.82,5141712,6754.020848400557
2018-06-13,122.84,123.34,122.47,123.17,4941767,6443.017722222231
2018-06-14,123.63,123.86,123.32,123.39,5765471,6502.8068575419165
2018-06-15,122.18,122.2,120.83,121.31,11430333,6551.018980446916
2018-06-18,121.35,121.44,120.99,121.12,2740883,6523.233642105261
2018-06-19,120.81,121.03,120.581,120.83,3177011,6718.1673263158
2018-06-20,120.79,120.81,120.16,120.27,3254970,6680.250211565586
2018-06-21,119.92,120.32,119.821,120.06,4077994,6736.816926315792
2018-06-22,120.22,120.4,120.1,120.35,2844490,6359.186926286503
2018-06-25,120.0,120.23,119.8299,119.89,4291975,6203.440236768817
2018-06-26,119.28,119.59,119.09,119.29,5870985,6201.924495476686
2018-06-27,118.96,119.05,118.48,118.59,4806887,6096.042561060735
2018-06-28,118.59,118.67,118.01,118.23,6458673,6081.872907949803
2018-06-29,118.43,118.94,118.26,118.65,4435192,5903.817749999997
2018-07-02,118.18,118.21,117.4,117.45,8976796,6453.1498888116885
2018-07-03,118.4,119.08,118.38,118.66,6259523,6596.762625000031
2018-07-05,118.92,119.33,118.77,119.07,4203480,6581.247724425885
2018-07-06,118.97,119.03,118.731,118.86,2431563,6541.856096033405
2018-07-09,119.65,119.73,119.14,119.16,3370007,6705.73146036162
2018-07-10,118.88,119.0,118.61,118.9,3167618,6480.237635605015
2018-07-11,118.45,118.53,117.62,117.65,5514361,6354.387743732591
2018-07-12,118.0,118.2638,117.94,118.11,3328491,6219.142004175372
2018-07-13,117.62,117.75,117.4465,117.59,3716286,6236.775603628785
2018-07-16,117.51,117.625,117.28,117.54,3349718,6521.226309192203
2018-07-17,116.72,116.925,116.12,116.28,6987961,6877.720881944445
2018-07-18,116.03,116.35,115.83,116.28,4163761,7402.712555555563
2018-07-19,115.13,116.47,115.12,115.81,11635756,7390.11466666668
2018-07-20,116.4,116.71,116.24,116.57,5890965,7420.497642559139
2018-07-23,116.25,116.31,115.76,116.01,4106017,7679.785597484293
2018-07-24,116.22,116.43,115.91,116.03,3537742,8071.491902777785
2018-07-25,116.79,116.8366,116.27,116.68,4627275,8253.39627711686
2018-07-26,116.24,116.51,115.77,115.8,4933768,8196.312067039127
2018-07-27,115.92,116.2399,115.77,115.84,4556462,8021.261315240094
2018-07-30,115.8,116.02,115.64,115.65,3107207,8133.612545454568
2018-07-31,115.47,116.35,115.394,115.98,4639493,7914.978093249836
2018-08-01,115.63,115.7,115.125,115.15,7039592,7569.98511111112
2018-08-02,115.17,115.23,114.42,114.51,5356824,7590.204027874581
2018-08-03,115.09,115.53,114.86,114.91,5215890,7394.049603340312
2018-08-06,114.56,114.72,114.31,114.32,4847864,6988.067776223786
2018-08-07,114.85,114.935,114.42,114.59,4235657,6986.506615598909
2018-08-08,114.75,114.95,114.41,114.91,3246815,6444.725208333348
2018-08-09,115.02,115.12,114.69,114.74,3138335,6394.308685674555
2018-08-10,114.81,115.23,114.6076,114.69,6164452,6394.756190807804
2018-08-13,113.81,113.81,112.83,112.98,7634017,6345.148011444932
2018-08-14,113.25,113.48,112.84,113.06,5265403,6055.93001395674
2018-08-15,112.17,112.18,111.06,111.21,9569058,6369.941725105185
2018-08-16,111.46,111.88,111.1,111.11,6173016,6345.205167737333
2018-08-17,111.69,112.15,111.38,112.13,6592114,6466.440156139124
2018-08-20,112.38,112.74,112.16,112.68,4392093,6443.839019466507
